ingles,traducao_pt
we'll change the front tyres only this time,"Desta vez, só vamos trocar os dianteiros"
we're changing your front tyres only,Só vamos trocar seus pneus da frente
we're changing front tyres only,Só vamos trocar os pneus da frente
we're changing front tyres only this time,Vamos trocar apenas os dianteiros desta vez
"acknowledged, dry tyres","Confirmado, pneus para seco"
5 seconds,Cinco segundos
"acknowledged, intermediate tyres","Confirmado, pneus intermediários"
300 feet,Trezentos pés
"acknowledged, we'll fit tyre set","Confirmado, vamos instalar o jogo de pneus"
we'll add fuel and change all 4 tyres,Vamos abastecer e trocar os quatro pneus
we're adding fuel and we're gonna change all 4 tyres,Vamos abastecer e trocar os quatro pneus
we're gonna change all 4 tyres and we're gonna refuel you,Vamos trocar os quatro pneus e reabastecer você
we're gonna change all 4 tyres and refuel,Vamos trocar os quatro pneus e reabastecer
we're changing all 4 tyres and we're gonna add fuel,Vamos trocar os quatro pneus e abastecer
we're changing all 4 tyres and we're adding fuel,Vamos trocar os quatro pneus e completar o combustível
"copy that, no refueling","Copiado, sem reabastecimento"
"acknowledged, we won't refuel you","Confirmado, não vamos abastecer"
"understood, we won't add any fuel","Entendido, sem combustível"
"understood, we won't add fuel","Entendido, não vamos colocar combustível"
"copy that, no fuel this time","Copiado, sem combustível desta vez"
"okay, no refueling this time","Certo, sem reabastecimento agora"
"we're changing all 4 tyres, no fuel","Vamos trocar os quatro pneus, sem combustível"
"we're changing all 4 tyres, no fuel this time","Vamos trocar os quatro pneus, sem abastecer desta vez"
"we're changing all 4 tyres, we're not refueling this time","Vamos trocar os quatro pneus, não vamos reabastecer"
"we're changing all 4 tyres, no refueling","Quatro pneus trocados, sem reabastecimento"
"we're changing all 4 tyres, we are not refueling","Quatro pneus trocados, sem combustível"
we can't do that,Não dá pra fazer isso
"the car has too much damage, we can't fix this","O carro tá muito danificado, não dá pra consertar"
"the car's got too much damage, mate, we're done","O carro tá destruído, parceiro, encerramos"
"there's too much damage here, there's nothing we can do","Dano demais aqui, não tem o que fazer"
pit lane speed limit is,Limite de velocidade no pit lane é
the pit lane speed limit is,O limite no pit lane é
"acknowledged, we'll fix the bodywork","Confirmado, vamos consertar a carroceria"
"understood, we're fixing rear aero only","Entendido, só vamos reparar a aero traseira"
"understood, we're fixing the rear aero only","Entendido, vamos arrumar só a parte traseira"
"okay, we'll fix rear aero only at the next stop","Certo, ajustamos só a aero traseira na próxima parada"
"copy that, rear aero only","Copiado, só aero traseira"
"acknowledged, we'll fix the rear aero only","Confirmado, vamos reparar só a aero traseira"
look out for the pit speed limit,Atenção para o limite de velocidade no pit
watch your speed limit in the pits,Cuida com o limite de velocidade nos boxes
watch your speed,Fica de olho na velocidade
"copy that, we're going for soft tyres","Copiado, vamos com pneus macios"
"understood, we'll put soft tyres on","Entendido, vamos colocar pneus macios"
"okay, we'll put soft tyres on","Certo, vamos de pneus macios"
"understood, soft tyres this time","Entendido, vamos de macios desta vez"
"acknowledged, we're going for soft tyres","Confirmado, vamos com pneus macios"
"okay, pit request cancelled","Ok, pedido de pit cancelado"
pit stop cancelled,Parada cancelada
"acknowledged, pit request cancelled","Confirmado, pedido de box cancelado"
the pit window is closing,Janela de pit se fechando
pit window closes at the end of this lap,Janela fecha ao final desta volta
the pit window closes at the end of this lap,A janela de pit fecha no final desta volta
"pit stop's already been requested, we are ready","Parada já solicitada, estamos prontos"
"pit stop already requested, we know","Pit stop já foi chamado, tá no sistema"
"acknowledged, we're already expecting you in","Confirmado, já estamos esperando você"
"understood, we're already expecting you","Entendido, já estamos te aguardando"
"okay, we are already expecting you","Certo, já estamos preparados"
"we know, pit stop's already been requested","Sabemos, parada já foi pedida"
"understood, we're changing front tyres only this time","Entendido, vamos trocar só os dianteiros desta vez"
"acknowledged, we're changing your front tyres only","Confirmado, vamos trocar só os pneus da frente"
"acknowledged, we'll change front tyres this time","Confirmado, troca dos dianteiros nesta parada"
"understood, change front tyres only","Entendido, só os pneus dianteiros"
"copy that, front tyres only","Copiado, só dianteiros"
"acknowledged, we're changing front tyres only this time","Confirmado, vamos trocar só os pneus da frente desta vez"
50 metres,Cinquenta metros
"copy that, we're going for medium tyres","Copiado, vamos de pneus médios"
okay we'll put medium tyres on,"Certo, vamos colocar pneus médios"
"understood, medium tyres","Entendido, médios"
"copy that, medium tyres","Copiado, médios"
"acknowledged, medium tyres","Confirmado, médios"
pit window opens after,Janela de pit abre após
pit crew is ready,Equipe de box pronta
the pit crew is ready,Equipe já está pronta
the pit crew's ready,Equipe do pit está a postos
"pit now, box, box, box","Entre agora, box, box, box!"
"box, box, box, pit now","Box, box, box, entra agora!"
"box now, please, box, box, box","Box agora, por favor, box, box, box"
pit window opens in 2 minutes,Janela de pit abre em dois minutos
the pit window opens in 2 minutes,A janela de pit abre em dois minutos
your pit stall is occupied,Seu box está ocupado
your pit box is currently occupied,Seu pit está atualmente ocupado
your pit stall is unavailable,Seu box está indisponível
we're gonna fix the front aero and leave the rear,Vamos consertar a aero dianteira e deixar a traseira como tá
we'll fix the front and we'll leave the rear aero,Vamos arrumar a frente e deixar a aero traseira pra depois
we're fixing front aero only,Vamos reparar só a aero da frente
we're gonna fix the front aero only,Vamos fazer só a dianteira
we'll fix the front aero and leave the rear,Vamos ajustar a dianteira e deixar a traseira como está
"acknowledged, ultra-soft tyres","Confirmado, pneus ultra macios"
"understood, we're changing all 4 tyres","Entendido, vamos trocar os quatro pneus"
"copy that, we'll change all 4 tyres","Copiado, vamos trocar os quatro pneus"
"acknowledged, we're changing all 4 tyres","Confirmado, troca completa dos quatro pneus"
"acknowledged, we'll change all 4 tyres","Confirmado, vamos trocar os quatro pneus"
"understood, we'll change all your tyres","Entendido, vamos trocar todos os pneus"
"copy that, we'll change all your tyres","Copiado, vamos trocar todos os pneus"
the pit window opens at the end of this lap,A janela de pit abre no fim desta volta
the pit window opens next lap,A janela de pit abre na próxima volta
"acknowledged, we'll change front left only","Confirmado, vamos trocar só o dianteiro esquerdo"
the pit stall is now available,O box agora está liberado
our pit stall's available now,Nosso box está livre agora
your pit stall's now free,Seu box já está liberado
the pit stall is available,Box está disponível
your pit stall is now available,Seu pit agora está livre
feet,Pés
"in this lap, this is gonna be tight to make the pit window","Entra nessa volta, tá apertado pra entrar na janela"
"box this lap, we might miss the pit window","Box nesta volta, podemos perder a janela"
"box this lap, haul ass or you'll miss the window","Box nessa, pisa fundo senão perde o pit"
"box this lap, push, we're short of time","Box nessa, acelera que tamo sem tempo"
"copy that, we'll refuel you","Copiado, vamos reabastecer"
"okay, we'll add the fuel","Ok, vamos colocar o combustível"
"acknowledged, we're gonna refuel you","Confirmado, vamos reabastecer você"
"understood, we'll add fuel","Entendido, vamos colocar combustível"
"understood, we're gonna add fuel","Entendido, vamos completar o tanque"
pit this lap for prime tyres,Entra nesta volta pra pneus prime
in this lap for primes,Entra agora pra prime
in this lap for primes tyres,Box nesta volta pra compostos prime
box this lap for prime tyres,Box nessa pra pneus prime
box this lap for primes,Box nessa pra prime
"understood, we'll fix the front and rear aero","Entendido, vamos consertar a aero dianteira e traseira"
"acknowledged, we'll fix front and rear aero","Confirmado, vamos ajustar frente e traseira"
"understood, we'll fix front and rear aero","Entendido, frente e traseira no pit"
"copy that, we'll fix your front and your rear aero","Copiado, vamos mexer na dianteira e na traseira"
"okay, we'll fix your front and your rear aero","Certo, ajeitamos frente e traseira"
pit this lap for options,Box nesta volta pra pneus option
in this lap for option tyres,Entra nessa pra compostos option
box this lap for options,Box nessa volta pra pneus option
in this lap for options,Entra nessa pra option
"understood, we're not gonna change the tyres this time around","Entendido, não vamos trocar pneus nesta parada"
"copy that, no tyre change at the next stop","Copiado, sem troca de pneus no próximo pit"
"understood, no tyres for the next pit stop","Entendido, sem pneus no próximo pit stop"
"copy that, no tyres at the next stop","Copiado, nada de pneus na próxima"
"acknowledged, no tyres at the next pit stop","Confirmado, sem troca de pneus nesse pit"
we'll fix the front and rear aero,Vamos ajustar frente e traseira da aero
we're gonna fix your front and rear aero,Vamos consertar sua aero dianteira e traseira
we'll fix the front and the rear aero,Vamos mexer na frente e na traseira
we're fixing front and rear aero,Reparando dianteira e traseira
"acknowledged, super-soft tyres","Confirmado, pneus super macios"
